Data,Hora,Preco
2025-05-06,20,47.78
2025-05-06,21,36.0
2025-05-06,22,36.0
2025-05-06,23,36.0
2025-05-06,24,36.0
2025-05-06,25,38.0
2025-05-06,26,38.0
2025-05-06,27,38.0
2025-05-06,28,38.0
2025-05-06,29,39.0
2025-05-06,30,39.0
2025-05-06,31,39.0
2025-05-06,32,39.0
2025-05-06,33,38.0
2025-05-06,34,38.0
2025-05-06,35,38.0
2025-05-06,36,38.0
2025-05-06,37,48.23
2025-05-06,38,48.23
2025-05-06,39,48.23
2025-05-06,40,48.23
2025-05-06,41,47.78
2025-05-06,42,47.78
2025-05-06,43,47.78
2025-05-06,44,47.78
2025-05-06,45,47.56
2025-05-06,46,47.56
2025-05-06,47,47.56
2025-05-06,48,47.56
2025-05-06,49,47.56
2025-05-06,50,47.56
2025-05-06,51,47.56
2025-05-06,52,47.56
2025-05-06,53,43.23
2025-05-06,54,43.23
2025-05-06,55,43.23
2025-05-06,56,43.23
2025-05-06,57,43.23
2025-05-06,58,43.23
2025-05-06,59,43.23
2025-05-06,60,43.23
2025-05-06,61,47.56
2025-05-06,62,47.56
2025-05-06,63,47.56
2025-05-06,64,47.56
2025-05-06,65,47.56
2025-05-06,66,47.56
2025-05-06,67,47.56
2025-05-06,68,47.56
2025-05-06,69,48.23
2025-05-06,70,48.23
2025-05-06,71,48.23
2025-05-06,72,48.23
2025-05-06,73,47.78
2025-05-06,74,47.78
2025-05-06,75,47.78
2025-05-06,76,47.78
2025-05-06,77,64.04
2025-05-06,78,64.04
2025-05-06,79,64.04
2025-05-06,80,64.04
2025-05-06,81,47.78
2025-05-06,82,47.78
2025-05-06,83,47.78
2025-05-06,84,47.78
2025-05-06,85,65.12
2025-05-06,86,65.12
2025-05-06,87,65.12
2025-05-06,88,65.12
2025-05-06,89,48.23
2025-05-06,90,48.23
2025-05-06,91,48.23
2025-05-06,92,48.23
2025-05-06,93,47.78
2025-05-06,94,47.78
2025-05-06,95,47.78
2025-05-06,96,47.78
2025-05-07,1,46.42
2025-05-07,2,46.42
2025-05-07,3,46.42
2025-05-07,4,46.42
2025-05-07,5,41.22
2025-05-07,6,41.22
2025-05-07,7,41.22
2025-05-07,8,41.22
2025-05-07,9,41.21
2025-05-07,10,41.21
2025-05-07,11,41.21
2025-05-07,12,41.21
2025-05-07,13,36.5
2025-05-07,14,36.5
2025-05-07,15,36.5
2025-05-07,16,36.5
2025-05-07,17,35.0
2025-05-07,18,35.0
2025-05-07,19,35.0
2025-05-07,20,35.0
2025-05-07,21,31.22
2025-05-07,22,31.22
2025-05-07,23,31.22
2025-05-07,24,31.22
2025-05-07,25,32.4
2025-05-07,26,32.4
2025-05-07,27,32.4
2025-05-07,28,32.4
2025-05-07,29,49.1
2025-05-07,30,49.1
2025-05-07,31,49.1
2025-05-07,32,49.1
2025-05-07,33,43.23
2025-05-07,34,43.23
2025-05-07,35,43.23
2025-05-07,36,43.23
2025-05-07,37,41.22
2025-05-07,38,41.22
2025-05-07,39,41.22
2025-05-07,40,41.22
2025-05-07,41,45.29
2025-05-07,42,45.29
2025-05-07,43,45.29
2025-05-07,44,45.29
2025-05-07,45,41.22
2025-05-07,46,41.22
2025-05-07,47,41.22
2025-05-07,48,41.22
2025-05-07,49,41.22
2025-05-07,50,41.22
2025-05-07,51,41.22
2025-05-07,52,41.22
2025-05-07,53,46.42
2025-05-07,54,46.42
2025-05-07,55,46.42
2025-05-07,56,46.42
2025-05-07,57,46.42
2025-05-07,58,46.42
2025-05-07,59,46.42
2025-05-07,60,46.42
2025-05-07,61,46.42
2025-05-07,62,46.42
2025-05-07,63,46.42
2025-05-07,64,46.42
2025-05-07,65,51.01
2025-05-07,66,51.01
2025-05-07,67,51.01
2025-05-07,68,51.01
2025-05-07,69,54.15
2025-05-07,70,54.15
2025-05-07,71,54.15
2025-05-07,72,54.15
2025-05-07,73,54.15
2025-05-07,74,54.15
2025-05-07,75,54.15
2025-05-07,76,54.15
2025-05-07,77,52.5
2025-05-07,78,52.5
2025-05-07,79,52.5
2025-05-07,80,52.5
2025-05-07,81,65.12
2025-05-07,82,65.12
2025-05-07,83,65.12
2025-05-07,84,65.12
2025-05-07,85,80.0
2025-05-07,86,80.0
2025-05-07,87,80.0
2025-05-07,88,80.0
2025-05-07,89,79.54
2025-05-07,90,79.54
2025-05-07,91,79.54
2025-05-07,92,79.54
2025-05-07,93,79.54
2025-05-07,94,79.54
2025-05-07,95,79.54
2025-05-07,96,79.54
2025-05-08,1,40.1
2025-05-08,2,40.1
2025-05-08,3,40.1
2025-05-08,4,40.1
2025-05-08,5,39.47
2025-05-08,6,39.47
2025-05-08,7,39.47
2025-05-08,8,39.47
2025-05-08,9,30.3
2025-05-08,10,30.3
2025-05-08,11,30.3
2025-05-08,12,30.3
2025-05-08,13,30.09
2025-05-08,14,30.09
2025-05-08,15,30.09
2025-05-08,16,30.09
2025-05-08,17,29.8
2025-05-08,18,29.8
2025-05-08,19,29.8
2025-05-08,20,29.8
2025-05-08,21,29.01
2025-05-08,22,29.01
2025-05-08,23,29.01
2025-05-08,24,29.01
2025-05-08,25,30.09
2025-05-08,26,30.09
2025-05-08,27,30.09
2025-05-08,28,30.09
2025-05-08,29,45.29
2025-05-08,30,45.29
2025-05-08,31,45.29
2025-05-08,32,45.29
2025-05-08,33,40.0
2025-05-08,34,40.0
2025-05-08,35,40.0
2025-05-08,36,40.0
2025-05-08,37,45.29
2025-05-08,38,45.29
2025-05-08,39,45.29
2025-05-08,40,45.29
2025-05-08,41,61.69
2025-05-08,42,61.69
2025-05-08,43,61.69
2025-05-08,44,61.69
2025-05-08,45,59.2
2025-05-08,46,59.2
2025-05-08,47,59.2
2025-05-08,48,59.2
2025-05-08,49,55.0
2025-05-08,50,55.0
2025-05-08,51,55.0
2025-05-08,52,55.0
2025-05-08,53,54.15
2025-05-08,54,54.15
2025-05-08,55,54.15
2025-05-08,56,54.15
2025-05-08,57,39.47
2025-05-08,58,39.47
2025-05-08,59,39.47
2025-05-08,60,39.47
2025-05-08,61,35.29
2025-05-08,62,35.29
2025-05-08,63,35.29
2025-05-08,64,35.29
2025-05-08,65,30.3
2025-05-08,66,30.3
2025-05-08,67,30.3
2025-05-08,68,30.3
2025-05-08,69,30.3
2025-05-08,70,30.3
2025-05-08,71,30.3
2025-05-08,72,30.3
2025-05-08,73,29.8
2025-05-08,74,29.8
2025-05-08,75,29.8
2025-05-08,76,29.8
2025-05-08,77,30.09
2025-05-08,78,30.09
2025-05-08,79,30.09
2025-05-08,80,30.09
2025-05-08,81,40.0
2025-05-08,82,40.0
2025-05-08,83,40.0
2025-05-08,84,40.0
2025-05-08,85,79.59
2025-05-08,86,79.59
2025-05-08,87,79.59
2025-05-08,88,79.59
2025-05-08,89,54.15
2025-05-08,90,54.15
2025-05-08,91,54.15
2025-05-08,92,54.15
2025-05-08,93,46.21
2025-05-08,94,46.21
2025-05-08,95,46.21
2025-05-08,96,46.21
2025-05-09,1,31.27
2025-05-09,2,31.27
2025-05-09,3,31.27
2025-05-09,4,31.27
2025-05-09,5,30.09
2025-05-09,6,30.09
2025-05-09,7,30.09
2025-05-09,8,30.09
2025-05-09,9,29.41
2025-05-09,10,29.41
2025-05-09,11,29.41
2025-05-09,12,29.41
2025-05-09,13,25.36
2025-05-09,14,25.36
2025-05-09,15,25.36
2025-05-09,16,25.36
2025-05-09,17,25.36
2025-05-09,18,25.36
2025-05-09,19,25.36
2025-05-09,20,25.36
2025-05-09,21,25.36
2025-05-09,22,25.36
2025-05-09,23,25.36
2025-05-09,24,25.36
2025-05-09,25,30.26
2025-05-09,26,30.26
2025-05-09,27,30.26
2025-05-09,28,30.26
2025-05-09,29,39.37
2025-05-09,30,39.37
2025-05-09,31,39.37
2025-05-09,32,39.37
2025-05-09,33,30.58
2025-05-09,34,30.58
2025-05-09,35,30.58
2025-05-09,36,30.58
2025-05-09,37,35.56
2025-05-09,38,35.56
2025-05-09,39,35.56
2025-05-09,40,35.56
2025-05-09,41,30.3
2025-05-09,42,30.3
2025-05-09,43,30.3
2025-05-09,44,30.3
2025-05-09,45,30.09
2025-05-09,46,30.09
2025-05-09,47,30.09
2025-05-09,48,30.09
2025-05-09,49,35.56
2025-05-09,50,35.56
2025-05-09,51,35.56
2025-05-09,52,35.56
2025-05-09,53,30.26
2025-05-09,54,30.26
2025-05-09,55,30.26
2025-05-09,56,30.26
2025-05-09,57,30.09
2025-05-09,58,30.09
2025-05-09,59,30.09
2025-05-09,60,30.09
2025-05-09,61,30.09
2025-05-09,62,30.09
2025-05-09,63,30.09
2025-05-09,64,30.09
2025-05-09,65,29.41
2025-05-09,66,29.41
2025-05-09,67,29.41
2025-05-09,68,29.41
2025-05-09,69,29.01
2025-05-09,70,29.01
2025-05-09,71,29.01
2025-05-09,72,29.01
2025-05-09,73,30.01
2025-05-09,74,30.01
2025-05-09,75,30.01
2025-05-09,76,30.01
2025-05-09,77,30.09
2025-05-09,78,30.09
2025-05-09,79,30.09
2025-05-09,80,30.09
2025-05-09,81,41.92
2025-05-09,82,41.92
2025-05-09,83,41.92
2025-05-09,84,41.92
2025-05-09,85,80.27
2025-05-09,86,80.27
2025-05-09,87,80.27
2025-05-09,88,80.27
2025-05-09,89,57.64
2025-05-09,90,57.64
2025-05-09,91,57.64
2025-05-09,92,57.64
2025-05-09,93,39.76
2025-05-09,94,39.76
2025-05-09,95,39.76
2025-05-09,96,39.76
2025-05-10,1,29.22
2025-05-10,2,29.22
2025-05-10,3,29.22
2025-05-10,4,29.22
2025-05-10,5,19.02
2025-05-10,6,19.02
2025-05-10,7,19.02
2025-05-10,8,19.02
2025-05-10,9,19.26
2025-05-10,10,19.26
2025-05-10,11,19.26
2025-05-10,12,19.26
2025-05-10,13,19.02
2025-05-10,14,19.02
2025-05-10,15,19.02
2025-05-10,16,19.02
2025-05-10,17,11.12
2025-05-10,18,11.12
2025-05-10,19,11.12
2025-05-10,20,11.12
2025-05-10,21,13.34
2025-05-10,22,13.34
2025-05-10,23,13.34
2025-05-10,24,13.34
2025-05-10,25,16.1
2025-05-10,26,16.1
2025-05-10,27,16.1
2025-05-10,28,16.1
2025-05-10,29,15.81
2025-05-10,30,15.81
2025-05-10,31,15.81
2025-05-10,32,15.81
2025-05-10,33,13.34
2025-05-10,34,13.34
2025-05-10,35,13.34
2025-05-10,36,13.34
2025-05-10,37,19.02
2025-05-10,38,19.02
2025-05-10,39,19.02
2025-05-10,40,19.02
2025-05-10,41,19.02
2025-05-10,42,19.02
2025-05-10,43,19.02
2025-05-10,44,19.02
2025-05-10,45,12.01
2025-05-10,46,12.01
2025-05-10,47,12.01
2025-05-10,48,12.01
2025-05-10,49,5.76
2025-05-10,50,5.76
2025-05-10,51,5.76
2025-05-10,52,5.76
2025-05-10,53,5.79
2025-05-10,54,5.79
2025-05-10,55,5.79
2025-05-10,56,5.79
2025-05-10,57,4.0
2025-05-10,58,4.0
2025-05-10,59,4.0
2025-05-10,60,4.0
2025-05-10,61,0.1
2025-05-10,62,0.1
2025-05-10,63,0.1
2025-05-10,64,0.1
2025-05-10,65,0.0
2025-05-10,66,0.0
2025-05-10,67,0.0
2025-05-10,68,0.0
2025-05-10,69,0.0
2025-05-10,70,0.0
2025-05-10,71,0.0
2025-05-10,72,0.0
2025-05-10,73,0.1
2025-05-10,74,0.1
2025-05-10,75,0.1
2025-05-10,76,0.1
2025-05-10,77,0.1
2025-05-10,78,0.1
